41	functions	are_a_collection_of	hash_functions	0.936
42	The_first_one	was_formally_published_in	1997	0.919
46	collisions	were_found_in	MD5	0.913
5	The_most_common_application	is_the_creation_of	digital_signatures	0.912
2	The_values_returned_by_a_hash_function	are_called_hash	values	0.9
22	The_values_returned_by_a_hash_function	are_called_hash	values	0.9
23	the_one_way_compression_function	is_denoted_by	f	0.892
71	you	ll_find_that	the_bulk_of_the_material	0.885
66	They	are_useful_in	a_variety_of_applications	0.884
69	you	will_find	a_chapter	0.874
6	They	are_also_useful_in	cryptography	0.873
26	They	are_also_useful_in	cryptography	0.873
4	MD5	is_used_in	many_situations_where_a_potentially_long_message_needs_to_be_processed_and_or_compared_quickly	0.868
41	The_MD_family	comprises_of	hash_functions	0.851
49	The_MD_family	comprises_of	hash_functions	0.851
24	The_algorithm	starts_with	an_initial_value	0.823
3	a_hash_table	be_widely_used_in	computer_software	0.817
23	a_hash_table	be_widely_used_in	computer_software	0.817
27	Bob_Jenkins	More_recently_presented	a_hashing_function	0.807
46	collisions	were_found_in	2004	0.797
36	I	saw_a_lot_of_hash_function_in	my_data_structures_courses	0.785
52	you	be_a_new_hash_function_for	hash_table_lookup	0.772
36	I	saw	a_lot_of_hash_function_and_applications	0.768
37	16_18_million	hashes_per	second	0.766
71	you	ll_find_after	a_short_introduction	0.747
67	you	might_want_to_check	someone_s_credit_rating_or_passport_number	0.742
32	collisions	can_be_find_on	a_computer	0.739
32	collisions	can_be_find_within	seconds	0.739
16	we	will_have	a_slot_named_0_a_slot	0.729
69	you	Open_will	any_book	0.727
18	We	can_implement	a_hash_table	0.723
36	I	saw_applications_in	my_data_structures_courses	0.716
18	a_list	be_using_with	each_element_initialized_to_the_special_Python_value_None	0.714
38	normal_hash_table_lookups	be_doing_	one	0.707
54	I	have	three_complaints	0.704
25	The_IV	is	a_fixed_value	0.703
53	I	also_give_you	a_way_to_verify_that_it_is_more_thorough	0.685
41	multi_byte_keys	be_designed_by	Bob_Jenkins	0.673
40	h	should_distribute	the_elements_of_our_collection	0.666
67	you	to_check	someone_s_credit_rating_or_passport_number	0.655
63	I	ll_present	useful_algorithms	0.648
68	it	doesn	t	0.621
61	multiplication	only_affects	higher_bits	0.612
28	the_bytes_of_the_key	have_by	design	0.569
37	my_professor	be_a_rule_of	thumb	0.562
15	an_integer_value	starting_at	0	0.552
53	it	is	thorough	0.48
81	it	is_also_referred_in	dissertation	0.467
64	databases	be_a_variety_of	areas___computation	0.448
64	graphics	be_a_variety_of	areas___computation	0.448
81	it	is	suitable	0.446
67	you	might_want_for	example	0.359
57	you	use	a_hash_table_that_grows_by_increasing_the_result_size_by_one_bit	0.23
16	we	will_have_a_slot_named_0_a_slot_named_1_for	example	0.109
